,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
158,ALGORITMOS Y ESTRUCTURA DE DATOS,,Analítica de Datos y Mercado,"Este curso se dedica a formar en el alumno las habilidades apropiadas para disenar sus propios  algoritmos y con ellos sus propias estructuras de datos apropiadas para resolver problemas. Se  consideran estructuras generales como arboles, listas enlazadas, arreglos, pilas, colas, entre otros,  asi como algoritmos de recursion, ordenamiento, seleccion y busqueda. No es un curso de  programacion, es un curso de analisis y diseno de algoritmos con propositos especificos, que se  implementan sobre una plataforma (compilador/interprete). Hace parte muy importante del curso  la implementacion, documentacion, sustentacion, analisis logico metodico y demostraciones  (pruebas) sobr e casos de uso y teoremas. Se introducen diversos tipos de algoritmos y estructuras  de datos para dar herramientas al alumno. Se fomenta el trabajo tanto independiente como en  grupo para implementar soluciones algoritmicas a problemas practicos.       Resulta dos de aprendizaje esperados (RAE)    ",X,Pregrado,,curso dedica formar alumno habilidades apropiadas diseñar propios algoritmos propias estructuras datos apropiadas resolver problemas consideran estructuras generales arboles listas enlazadas arreglos pilas colas asi algoritmos recursion ordenamiento seleccion busqueda curso programacion curso analisis diseño algoritmos propositos especificos implementan plataforma (compilador/interprete) hace parte importante curso implementacion documentacion sustentacion analisis logico metodico demostraciones (pruebas) sobr casos uso teoremas introducen diversos tipos algoritmos estructuras datos dar herramientas alumno fomenta trabajo independiente grupo implementar soluciones algoritmicas problemas practicos resulta dos aprendizaje esperados (rae),/fondoCartas/img2.jpg
159,INGENIERÍA DE DATOS,,Analítica de Datos y Mercado,"Este curso presenta elementos de diseno, creacion y manejo de bases de datos relacionales,  empleando el lenguaje SQL (structuredquery language). El curso profundiza en aspectos de  almacenamiento de archivos, indices y procesamiento de consulta, asi como en  el control de  concurrencia y administracion de transacciones. El curso tambien considera aspectos de  arquitectura de sistemas de bases de datos. Se fomenta el trabajo tanto independiente como en  grupo para implementar soluciones de bases de datos.       Resu ltados de aprendizaje esperados (RAE)    ",X,Pregrado,,curso presenta elementos diseño creacion manejo bases datos relacionales empleando lenguaje sql (structuredquery language) curso profundiza aspectos almacenamiento archivos indices procesamiento consulta asi control concurrencia administracion transacciones curso tambien considera aspectos arquitectura sistemas bases datos fomenta trabajo independiente grupo implementar soluciones bases datos resu ltados aprendizaje esperados (rae),/fondoCartas/img5.jpg
160,APRENDIZAJE AUTOMATICO DE MÁQUINA I,,Analítica de Datos y Mercado,"Al final de este curso los estudiantes estaran en la capacidad disenar e implementar algoritmos  para clasificacion, regresion o agrupamiento utilizando herramientas de aprendizaje automatico  basadas en redes Neuronales.       Resultados de aprendizaje esperad os (RAE)    Al finalizar el curso el estudiante estara en la capacidad de:     Diferenciar entre metodos de aprendizaje automatico supervisados y no supervisados.     Conocer y explicar las caracteristicas de modelos que usan redes neuronales para  regresion y clasificacion.       Resolver problemas utilizando metodos de aprendizaje automatico, evaluar su  rendimiento de forma cuantitativa, y seleccionar el mejor modelo.    Contenidos    ",X,Pregrado,,final curso estudiantes estaran capacidad diseñar implementar algoritmos clasificacion regresion agrupamiento utilizando herramientas aprendizaje automatico basadas redes neuronales resultados aprendizaje esperad (rae) finalizar curso estudiante estara capacidad diferenciar metodos aprendizaje automatico supervisados supervisados conocer explicar caracteristicas modelos usan redes neuronales regresion clasificacion resolver problemas utilizando metodos aprendizaje automatico evaluar rendimiento forma cuantitativa seleccionar mejor modelo contenidos,/fondoCartas/img8.jpg
161,ECONOMÍA DEL COMPORTAMIENTO,,Analítica de Datos y Mercado,"El curso llevara a los estudiantes a un viaje academico donde se revisaran los supuestos, implicaciones y fallas de los modelos microeconomicos estandar. Luego se discutiran modelos alternativos con fundamentos psicologicos mas realistas y se evaluaran sus implicaciones analiticas. Finalmente, se analizaran las implicaciones politicas de estos modelos mas realistas. A lo largo del curso se estudiaran ejemplos de politicas exitosas basadas en la economia del comportamiento.",X,Pregrado,,curso llevara estudiantes viaje academico revisaran supuestos implicaciones fallas modelos microeconomicos estandar luego discutiran modelos alternativos fundamentos psicologicos mas realistas evaluaran implicaciones analiticas finalmente analizaran implicaciones politicas modelos mas realistas largo curso estudiaran ejemplos politicas exitosas basadas economia comportamiento,/fondoCartas/img3.jpg
162,Introduccion a la Ciencia Economica,,Economía,"El analisis del contexto de nuestra vida suele llevarnos a identificar circunstancias en las cuales interactuan  muchas personas, todas con sus particulares singularidades e intereses comunes. La salida de un concierto,  el transito en una hora pico, el func ionamiento de un aeropuerto en temporada navidena, pueden ser  circunstancias de este tipo. Las interacciones economicas se encuentran subyacentes a estas  circunstancias. Lo mas sorprendente e interesante es como las interacciones entre diferentes personas,   firmas y paises se pueden explicar mediante unas pocas ideas economicas, simples y a su vez,  extremadamente poderosas.     Este curso busca ser una forma de ofrecer a los estudiantes mecanismos mediante los cuales se familiaricen  y especialicen en la compre nsion y funcionamiento de los principios esenciales del analisis economico. Bien  puede decirse que este objetivo global se desarrolla mediante tres ambitos o modulos en el desarrollo del  curso. El primer modulo plantea los principios y criterios fundamenta les del analisis economico: la forma  en que se puede entender y prever el comportamiento de un agente economico, sin importar si dicho  agente es un pais o un nino indeciso sobre como gastar $",X,Pregrado,,analisis contexto vida suele llevarnos identificar circunstancias cuales interactuan muchas personas todas particulares singularidades intereses comunes salida concierto transito hora pico func ionamiento aeropuerto temporada navideña pueden ser circunstancias tipo interacciones economicas encuentran subyacentes circunstancias mas sorprendente interesante interacciones diferentes personas firmas paises pueden explicar mediante unas pocas ideas economicas simples vez extremadamente poderosas curso busca ser forma ofrecer estudiantes mecanismos mediante cuales familiaricen especialicen compre nsion funcionamiento principios esenciales analisis economico bien puede decirse objetivo global desarrolla mediante tres ambitos modulos desarrollo curso primer modulo plantea principios criterios fundamenta analisis economico forma puede entender prever comportamiento agente economico importar dicho agente pais niño indeciso gastar,/fondoCartas/img8.jpg
163,Doctrinas Economicas,,Economía,"El curso de doctrinas economicas tiene como objetivo mostrar la manera en que se  ha  construido el pensamiento sistemico en la ciencia economica. Ademas, propone un  analisis de la estructura teorica, principales metodologias y premisas de las principales   corrientes y asi  comprender los problemas de la ciencia economica en la actualidad. Al   final, se busca que un entendimiento de las teorias desarrolladas a lo largo de la historia  social, ofrecera herramientas para resolver dilemas y problemas de la agenda de  investigacion de la ciencia economica  contemporanea  en particular y de las ciencias  sociales en general.     Para lograr este objetivo, el curso presenta las doctrinas economicas en su contexto  historico de surgimiento y la manera en que  son producto de tensiones sociales de su  epoca.     Luego de presentar el contexto historico, social y cientifico, se presentaran las principales  caracteristicas de cada doctrina economica. En este sentido, se incluiran los principales  conceptos, supuestos y conclusiones de cada corriente, asi como la metodologia que  permite dif erenciar a las doctrinas entre si.     La finalidad de este proceso de aprendizaje de las doctrinas economicas es lograr una  comprension general d el proceso historico que hay detras de la construccion de los  conocimientos asociados a  la ciencia economica del  siglo XXI. La ciencia actual es el  resultado de este acumulado de conocimientos representados en las doctrinas  economicas  y el enfasis del curso, al trabajar las fuentes primarias de este pensamiento,  es dar una introduccion de primera mano a los estudian tes de los autores tomados como  representativos de la historia de la economia como disciplina cientifica.       ",X,Pregrado,,curso doctrinas economicas objetivo mostrar manera construido pensamiento sistemico ciencia economica ademas propone analisis estructura teorica principales metodologias premisas principales corrientes asi comprender problemas ciencia economica actualidad final busca entendimiento teorias desarrolladas largo historia social ofrecera herramientas resolver dilemas problemas agenda investigacion ciencia economica contemporanea particular ciencias sociales general lograr objetivo curso presenta doctrinas economicas contexto historico surgimiento manera producto tensiones sociales epoca luego presentar contexto historico social cientifico presentaran principales caracteristicas cada doctrina economica sentido incluiran principales conceptos supuestos conclusiones cada corriente asi metodologia permite dif erenciar doctrinas finalidad proceso aprendizaje doctrinas economicas lograr comprension general proceso historico detras construccion conocimientos asociados ciencia economica siglo xxi ciencia actual resultado acumulado conocimientos representados doctrinas economicas enfasis curso trabajar fuentes primarias pensamiento dar introduccion primera mano estudian tes autores tomados representativos historia economia disciplina cientifica,/fondoCartas/img2.jpg
164,Principios de Microeconomia – Microeconomia,,Economía,"Este  curso  busca  que el estudiante   comprenda  las teorias  neoclasicas  del  comportamiento  y la racionalidad  de los  consumidores  y las firmas  en el mercado.   Al comienzo  del curso,  se define  y analiza   el comportamiento  de los agentes  en un  ambiente  perfectamente  competitivo.  Es  decir , donde  todos  tienen  la misma   influencia,  y por ende,  ninguna   capacidad  de influenciar  al mercado  para   su beneficio  de manera  intencional.     La segunda  parte  establece  las relaciones   entre  consumidores  y productores  de manera  explicita  de tal manera  que se pueda  entender  la  formacion  de variables  como  los precios,  el nivel  de beneficios  de una firma  o la felicidad  de un  consumidor,  a partir  de las diferente s interacciones  en el mercado.     ",X,Pregrado,,curso busca estudiante comprenda teorias neoclasicas comportamiento racionalidad consumidores firmas mercado comienzo curso define analiza comportamiento agentes ambiente perfectamente competitivo decir misma influencia ende ninguna capacidad influenciar mercado beneficio manera intencional segunda parte establece relaciones consumidores productores manera explicita tal manera pueda entender formacion variables precios nivel beneficios firma felicidad consumidor partir diferente interacciones mercado,/fondoCartas/img2.jpg
165,Microeconomia  I – Grupo  2,,Economía,"El curso de Microeconomia I ofrece las herramientas necesarias para el analisis del  comportamiento de los individuos, las empresas y su interrelacion en el mercado para los casos  extremos de la competencia perfecta y el monopolio. .      ",X,Pregrado,,curso microeconomia ofrece herramientas necesarias analisis comportamiento individuos empresas interrelacion mercado casos extremos competencia perfecta monopolio,/fondoCartas/img6.jpg
166,Macroeconomia,,Economía,"El curso de Macroeconomia que se imparte en la  Escuela de Administracion pretende brindar las  herramientas esenciales del analisis  macroeconomico, permitiendo al estudiante  comprender de mejor manera el desempeno de las  organizaciones en la realidad econom ica a la cual se  enfrenta dia a dia, y asi mejorar su proceso de toma  de decisiones.     En este sentido, el curso propende ampliar el analisis empresarial desde la vision economica del  corto y mediano plazo; teniendo en cuenta que todas las empresas deben ajustar su planeacion  estrategica segun las fluctuaciones de los mercados y de las polit icas adoptadas por las  autoridades economicas. De esta manera, se fortalece el analisis estrategico de las organizaciones  desde la optica del entorno empresarial.      ",X,Pregrado,,curso macroeconomia imparte escuela administracion pretende brindar herramientas esenciales analisis macroeconomico permitiendo estudiante comprender mejor manera desempeño organizaciones realidad econom ica enfrenta dia dia asi mejorar proceso toma decisiones sentido curso propende ampliar analisis empresarial vision economica corto mediano plazo cuenta todas empresas deben ajustar planeacion estrategica segun fluctuaciones mercados polit icas adoptadas autoridades economicas manera fortalece analisis estrategico organizaciones optica entorno empresarial,/fondoCartas/img8.jpg
167,Macroeconomia II,,Economía,"El curso introduce los fundamentos microeconomicos del comportamiento de los agentes  economicos, teniendo en cuenta sus restricciones intertemporales en el contexto de  economias cerradas y abiertas. Ademas, se profundiza en el mercado de dinero y se  introd uce la politica economica enfocada a los mercados financieros y cambiarios.   El contenido del curso profundiza sobre las funciones de comportamiento y de politica  economica relacionadas con el consumo, la inversion, el gasto publico, la oferta y demanda  de dinero y el mercado financiero.   Para tal fin los temas a ser desarrollados se agrupan en tres bloques: ",X,Pregrado,,curso introduce fundamentos microeconomicos comportamiento agentes economicos cuenta restricciones intertemporales contexto economias cerradas abiertas ademas profundiza mercado dinero introd uce politica economica enfocada mercados financieros cambiarios contenido curso profundiza funciones comportamiento politica economica relacionadas consumo inversion gasto publico oferta demanda dinero mercado financiero tal fin temas ser desarrollados agrupan tres bloques,/fondoCartas/img7.jpg
168,Microeconomia III,,Economía,"El curso de Microeconomia III corresponde a la ultima etapa de formacion para pregrado en  el area de microeconomia. Tiene tres unidades en las que se estudiara el Equilibrio General y  sus implicaciones, la Economia desde la aproximacion del Bienestar, y finalmente las Fallas  de Mercado.   En la primera parte del curso se aborda la teoria del equilibrio general. Esta teoria representa  uno de los avances teoricos mas importantes dentro de la historia de la ciencia economica.  Por tal motivo,  es de gran  importancia  entender  por que y como  los mercados  y los agentes  se  interrelacionan  entre  si. El marco  teorico  parte  de un modelo  muy  sencillo  con consumidores,  que poco a poco va introduciendo y relajando supuestos con el fin de introducir en la  estructura de analisis principios basicos sobre la interrelacion con firmas. Despues se  relacionaran  el equilibrio  general  con la teoria  del bienestar,  y se estudiaran  las situaciones  en  el que el mercado por si solo no nos lleva a una situacion eficiente. Este sera el marco para  discutir temas de politica economica, las discusiones sobre la teoria de la justicia y analizar  problemas econom icos colombianos. En la ultima parte se revisaran las fallas arquetipicas del  mercado, a saber, la presencia de externalidades, de bienes publicos y de asimetria de informacion. Esto dara herramientas adicionales a los estudiantes para discutir sobre las politicas publicas.   De este modo, durante el curso, los estudiantes aprenderan los conceptos y propiedades  basicas de la teoria neoclasica del equilibrio general, y entenderan su funcionamiento como  herramienta  de analisis y  de politica.  En particular,  con respecto  a su relacion  con el bienestar  y las fallas del mercado y el analisis de las politicas  economicas.     ",X,Pregrado,,curso microeconomia iii corresponde ultima etapa formacion pregrado area microeconomia tres unidades estudiara equilibrio general implicaciones economia aproximacion bienestar finalmente fallas mercado primera parte curso aborda teoria equilibrio general teoria representa avances teoricos mas importantes dentro historia ciencia economica tal motivo gran importancia entender mercados agentes interrelacionan marco teorico parte modelo sencillo consumidores introduciendo relajando supuestos fin introducir estructura analisis principios basicos interrelacion firmas despues relacionaran equilibrio general teoria bienestar estudiaran situaciones mercado solo lleva situacion eficiente sera marco discutir temas politica economica discusiones teoria justicia analizar problemas econom icos colombianos ultima parte revisaran fallas arquetipicas mercado saber presencia externalidades bienes publicos asimetria informacion dara herramientas adicionales estudiantes discutir politicas publicas modo curso estudiantes aprenderan conceptos propiedades basicas teoria neoclasica equilibrio general entenderan funcionamiento herramienta analisis politica particular respecto relacion bienestar fallas mercado analisis politicas economicas,/fondoCartas/img9.jpg
169,Econometria Basica,,Economía,"La econometria es una mezcla de teoria economica, economia matematica, estadistica  economica y estadistica matematica. La teoria economica hace afirmaciones o formula hipotesis  principalmente de naturaleza cualitativa. La preocupacion principal de la econo mia matematica  es expresar la teoria economica en forma matematica (ecuaciones) sin dedicar mayor atencion a  la medicion o a la verificacion empirica de la teoria. Por su parte, la econometria se interesa por  la verificacion empirica de la teoria economica . El econometrista  hace uso de las ecuaciones  propuestas por el economista matematico, pero en forma tal que estas puedan estar sujetas a  pruebas o corroboraciones empiricas.     El proposito de este curso es lograr que los estudiantes esten en capacidad de aplicar las  principales tecnicas empiricas de la econometria. Esto involucra: (i) determinar de forma  correcta el uso de los modelos mas acertados segun el contexto y la pregunta de investigacion,  (ii) acondicionar las bases de datos para su correcta imple mentacion, (iii) y comunicar los  resultados al publico en general.                     ",X,Pregrado,,econometria mezcla teoria economica economia matematica estadistica economica estadistica matematica teoria economica hace afirmaciones formula hipotesis principalmente naturaleza cualitativa preocupacion principal econo mia matematica expresar teoria economica forma matematica (ecuaciones) dedicar mayor atencion medicion verificacion empirica teoria parte econometria interesa verificacion empirica teoria economica econometrista hace uso ecuaciones propuestas economista matematico forma tal puedan sujetas pruebas corroboraciones empiricas proposito curso lograr estudiantes esten capacidad aplicar principales tecnicas empiricas econometria involucra (i) determinar forma correcta uso modelos mas acertados segun contexto pregunta investigacion (ii) acondicionar bases datos correcta imple mentacion (iii) comunicar resultados publico general,/fondoCartas/img2.jpg
170,Econometria Intermedia,,Economía,"En el analisis economico, las decisiones de los agentes pueden depender de los hechos  historicos, el contexto actual y/o de las expectativas que se forman dichos agentes para  horizontes lejanos o cercanos. Este curso le ayudara a reconocer que los fenomeno s economicos  se pueden analizar emp iricamente a traves de la construccion de modelos econometricos  dinamicos, tanto en un contexto uniecuacional como multiecuacional .     Bienvenidos a l curso de Econometria  intermedia.     ",X,Pregrado,,analisis economico decisiones agentes pueden depender hechos historicos contexto actual y/o expectativas forman dichos agentes horizontes lejanos cercanos curso ayudara reconocer fenomeno economicos pueden analizar emp iricamente traves construccion modelos econometricos dinamicos contexto uniecuacional multiecuacional bienvenidos curso econometria intermedia,/fondoCartas/img9.jpg
171,Economia Matematica,,Economía,"Este curso esta dirigido a estudiantes de Economia y Finanzas. Se busca que al final del  curso los  estudiantes sean capaces de resolver problemas sencillos de optimizacion  estatica, dinamica y sus  aplicaciones. Ademas, se hace un repaso de las principales  herramientas matematicas utilizadas  para resolver problemas economicos y se fortalece  el desarrollo y la presentacion de  demostraciones matematicas.     ",X,Pregrado,,curso dirigido estudiantes economia finanzas busca final curso estudiantes capaces resolver problemas sencillos optimizacion estatica dinamica aplicaciones ademas hace repaso principales herramientas matematicas utilizadas resolver problemas economicos fortalece desarrollo presentacion demostraciones matematicas,/fondoCartas/img9.jpg
172,Macroeconomia III,,Economía,"El proposito del curso es familiarizar a los estudiantes en los modelos neoclasicos de crecimiento  economico y en el analisis del corto plazo de la interaccion entre la oferta y la demanda  agregada, asi como  la combinacion de politicas monetaria y fiscal que se puede emplear en diferentes contextos  macroeconomicos.     El curso de  Macroeconom ia III  se divide en dos grandes bloques. El primer o dirigido  al estudio del  crecimiento de largo plazo, y una segunda mitad, con enfasis en temas de corto plazo relacionados con la  politica monetaria.     Inicialmente, e l curso aborda el estudio el Modelo de Ramsey  de crecimiento economico con ahorro  optimo, y las bases del ciclo economico real.  A partir de alli, estudiamos un modelo general que permite  incorporar los choques reales . Estos temas son evaluados en un entorno dinamico, cuyo objetivo es rastrear  las tr ayectorias temporales del consumo y el ahorro  y determinar la converge ncia al equilibrio.     A partir del tercer capitulo , el enfoque del curso se dirig e a temas de corto plazo, iniciando el an alisis de  diferentes modelos para derivar la curva de Phillips, la cual nos permite estudiar la oferta agregada a corto  plazo.  Posteriormente, se estudia la regla de Taylor y se usa para aproximar la demanda agregada a corto  plazo y se  revisa  el tema de l a inconsistencia temporal en la toma de medidas de politica monetaria.          ",X,Pregrado,,proposito curso familiarizar estudiantes modelos neoclasicos crecimiento economico analisis corto plazo interaccion oferta demanda agregada asi combinacion politicas monetaria fiscal puede emplear diferentes contextos macroeconomicos curso macroeconom iii divide dos grandes bloques primer dirigido estudio crecimiento largo plazo segunda mitad enfasis temas corto plazo relacionados politica monetaria inicialmente curso aborda estudio modelo ramsey crecimiento economico ahorro optimo bases ciclo economico real partir alli estudiamos modelo general permite incorporar choques reales temas evaluados entorno dinamico cuyo objetivo rastrear ayectorias temporales consumo ahorro determinar converge ncia equilibrio partir tercer capitulo enfoque curso dirig temas corto plazo iniciando alisis diferentes modelos derivar curva phillips permite estudiar oferta agregada corto plazo posteriormente estudia regla taylor usa aproximar demanda agregada corto plazo revisa tema inconsistencia temporal toma medidas politica monetaria,/fondoCartas/img4.jpg
173,Seminario de Economia de la Salud,,Economía,"Este seminario en economia de la salud familiarizara a los estudiantes con conceptos y metodos  clave en economia de la salud y les brindara una comprension de algunas de las principales  discusiones del campo. El curso combinara fundamentos teoricos con estudios empiricos y  enfatiza la relacion entre los dos. El curso proporcionara una base para una carrera profesional en  el campo de la economia de la salud en go bierno (p.ej. Ministerio de Salud, IETS), las instituciones  internacionales (p.ej. Banco Mundial, Organizacion Mundial de la Salud) o el sector privado (p.ej.  EPS, IPS, farmaceuticas, firmas de consultoria).   ",X,Pregrado,,seminario economia salud familiarizara estudiantes conceptos metodos clave economia salud brindara comprension principales discusiones campo curso combinara fundamentos teoricos estudios empiricos enfatiza relacion dos curso proporcionara base carrera profesional campo economia salud bierno (pej ministerio salud iets) instituciones internacionales (pej banco mundial organizacion mundial salud) sector privado (pej eps ips farmaceuticas firmas consultoria),/fondoCartas/img7.jpg
174,Curso  Basico  de Stata,,Economía,"Este curso consiste en una introduccion al uso del software estadistico Stata , con el fin de  obtener  los conocimientos  necesarios que permitiran al estudiante realizar analisis estadisticos que les  permita comprender y  resolver eficientemente problemas economi cos en el ambito profesional e  investigativo .     ",X,Pregrado,,curso consiste introduccion uso software estadistico stata fin obtener conocimientos necesarios permitiran estudiante realizar analisis estadisticos permita comprender resolver eficientemente problemas economi cos ambito profesional investigativo,/fondoCartas/img7.jpg
