,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
175,MEDICIÓN ECONÓMICA,,Economía,"El curso de Medicion Economica busca proporcionar a los estudiantes la conceptualizacion,  construccion y aplicacion de los principales indicadores de la economia, en el ambito economico,  social y demografico, co mo son: los indicadores macroeconomicos del sistema de contabilidad  nacional y ii) los indicadores demograficos, laborales y sociales, que permiten medir fenomenos  economicos de la realidad de los paises y sus usos en las definiciones de la politica econom ica y  social.     Adicionalmente, es importante proporcionar a los estudiantes una informacion basica sobre la  estructura de la economia colombiana, sus interrelaciones sectoriales e institucionales y sobre su  comercio internacional, con un enfoque util desd e el punto de vista analitico. Los indicadores  macroeconomicos, su proceso de elaboracion, interpretacion y analisis son de vital importancia en  la formacion de los estudiantes, con el proposito de que conozcan, usen y apliquen estos  resultados como herram ienta para el ejercicio de su profesion basada en estadisticas reales.     El curso de Medicion Economica busca ofrecer las herramientas basicas que permitan a los  estudiantes entender el sistema general de cuentas nacionales, las relaciones que se establecen   entre las diferentes partes, el proceso seguido para elaborar las cuentas nacionales, los analisis que ",X,Pregrado,,curso medicion economica busca proporcionar estudiantes conceptualizacion construccion aplicacion principales indicadores economia ambito economico social demografico indicadores macroeconomicos sistema contabilidad nacional ii) indicadores demograficos laborales sociales permiten medir fenomenos economicos realidad paises usos definiciones politica econom ica social adicionalmente importante proporcionar estudiantes informacion basica estructura economia colombiana interrelaciones sectoriales institucionales comercio internacional enfoque util desd punto vista analitico indicadores macroeconomicos proceso elaboracion interpretacion analisis vital importancia formacion estudiantes proposito conozcan usen apliquen resultados herram ienta ejercicio profesion basada estadisticas reales curso medicion economica busca ofrecer herramientas basicas permitan estudiantes entender sistema general cuentas nacionales relaciones establecen diferentes partes proceso seguido elaborar cuentas nacionales analisis,/fondoCartas/img6.jpg
176,HISTORIA ECONÓMICA GENERAL,,Economía,"El estudio y conocimiento de la historia economica es fundamental para entender como han  cambiado y como ha sido la evolucion de los procesos economicos, las formas de produccion y  consumo, el funcionamiento del intercambio, las relaciones de lo s agentes con el intercambio  y el impacto que ha tenido la economia sobre el desarrollo de las sociedades humanas. Las  herramientas que utiliza esta rama de la ciencia economica se centran en el analisis  descriptivo y empirico, tanto cualitativo como cuant itativo, de las dinamicas de la produccion,  el consumo, el intercambio y los fenomenos economicos, incluyendo consideraciones sociales,  politicas y culturales. Esto permite un estudio mas integral de los procesos evaluados.  ",X,Pregrado,,estudio conocimiento historia economica fundamental entender cambiado evolucion procesos economicos formas produccion consumo funcionamiento intercambio relaciones agentes intercambio impacto economia desarrollo sociedades humanas herramientas utiliza rama ciencia economica centran analisis descriptivo empirico cualitativo cuant itativo dinamicas produccion consumo intercambio fenomenos economicos incluyendo consideraciones sociales politicas culturales permite estudio mas integral procesos evaluados,/fondoCartas/img4.jpg
177,Curso Basico de R,,Economía,"El curso consiste en una introduccion al software estadistico R para obtener los conocimientos  basicos que permitiran al estudiante trabajar con este lenguaje de programacion. El estudiante  tendra la capacidad de leer, manipular, analizar y presentar informacion usando esta  herramienta.     ",X,Pregrado,,curso consiste introduccion software estadistico obtener conocimientos basicos permitiran estudiante trabajar lenguaje programacion estudiante tendra capacidad leer manipular analizar presentar informacion usando herramienta,/fondoCartas/img6.jpg
178,POBREZA Y DESIGUALDAD,,Economía,¿Por que  hay paises mas desarroll ados que otros?   ¿Por que  hay tanta desigualdad en Colombia?   El curso empieza por revisar los principales indicadores de pobreza y desigualdad en Colombia  y  el mundo. Luego el curso esta disenado para ayudarle al estudiante a entender las principales  teorias sobre desarrollo economico y desigualdad. El proposito final es ayudar al estudiante a  form arse como un pensador riguroso que usa cifras para justificar sus argumentos.         ,X,Pregrado,,paises mas desarroll ados tanta desigualdad colombia curso empieza revisar principales indicadores pobreza desigualdad colombia mundo luego curso diseñado ayudarle estudiante entender principales teorias desarrollo economico desigualdad proposito final ayudar estudiante form arse pensador riguroso usa cifras justificar argumentos,/fondoCartas/img8.jpg
179,Economia y Derecho,,Economía,"Este  curso  busca  familiarizar  a los estudiantes  con los fundamentos  del analisis  economico  y con la  forma  en que los mismos  se relacionan  con el derecho . El interes  es fortalecer  la capacidad  analitica   del estudiante  de Jurisprudencia  a traves  de la comprension  de los instrumentos  teoricos   interdisciplinari os entre  el derecho  y la economia .     El curso  se apoya  de varias  diadas  (Microeconomia  / Macroeconomia,  Derecho  Privado  / Derecho   Publico,  Equidad  / Eficiencia,  entre  otras),  las cuales  se alternan  y complementan,  a partir  de ciertos   elementos  basicos  del analisis  economico.  Esta asignatura  inicia  el desarrollo  de las competencias   analiticas,  criticas  y eticas  que permitiran  la formacion  integral  del futuro  abogado  rosarista.     El curso  esta compuesto  de varios  componentes,  interrelacionados  entre  si, y crecientes  en  complejidad  analitica.  Inicia  con los principios  fundamentales  del analisis  economico  (disyuntiva,   costo  de oportunidad,  maximizacion),  posteriormente  aplica  dichos  principios  a los dos agentes   microeconomicos  (individuo  / consumidor,  firma  / productor)  y caracteriza  los tipos  de mercado ;  entra  en las fallas  del mercado,  organismos  de regulacion  y el dilema  entre  equidad  y eficiencia . El  siguiente  componente  es de analisis  macroeconomico , politica  publica  (comercial , fiscal , empleo  y  salarios,  monetaria  y precios ) e intervencion  de organismos  multilaterales .        ",X,Pregrado,,curso busca familiarizar estudiantes fundamentos analisis economico forma mismos relacionan derecho interes fortalecer capacidad analitica estudiante jurisprudencia traves comprension instrumentos teoricos interdisciplinari derecho economia curso apoya varias diadas (microeconomia macroeconomia derecho privado derecho publico equidad eficiencia otras) cuales alternan complementan partir ciertos elementos basicos analisis economico asignatura inicia desarrollo competencias analiticas criticas eticas permitiran formacion integral futuro abogado rosarista curso compuesto varios componentes interrelacionados crecientes complejidad analitica inicia principios fundamentales analisis economico (disyuntiva costo oportunidad maximizacion) posteriormente aplica dichos principios dos agentes microeconomicos (individuo consumidor firma productor) caracteriza tipos mercado entra fallas mercado organismos regulacion dilema equidad eficiencia siguiente componente analisis macroeconomico politica publica (comercial fiscal empleo salarios monetaria precios intervencion organismos multilaterales,/fondoCartas/img9.jpg
180,Economia y genero,,Economía,"La economia como disciplina se ha caracterizado por ser una disciplina masculinizada , la cual ha  sido liderada  y escrita  por hombres; de igual manera, se encuentra evidencia de una participacion  desproporcionada de hombres en instituciones de politica economica, tales como bancos  centrales, y ministerios de hacienda.  En segundo lugar, se identifica una baja presencia de mu jeres  en la academia, lo cual se ha venido ralentizando en los ultimos anos en distintos paises.  Lo  anterior da cuenta de la necesidad de realizar investigaciones sobre las causas de este fenomeno  y posibles acciones para el cierre de brechas.     Por otra pa rte, la literatura y las oficinas estadisticas han  identificado la existencia de  brechas   economicas de genero tales como desigualdad en la remuneracion de las y los trabajadores,  menor acceso de las mujeres al mercado laboral, un indice en ascenso de la fe minidad de la  pobreza, y barreras para el liderazgo de instituciones relevantes de la politica economica y  empresarial del pais y del mundo.     En ese sentido, es relevante estudiar la economia desde un enfoque de genero para comprender  las herramientas y lo s sesgos con los que la disciplina cuenta para crear una perspectiva critica y  propositiva que le permita aportar con mayores insumos a los debates de politica publica en el  cierre de brechas. De igual manera, es importante estudiar la construccion de los principales  indicadores que dan cuenta de las brechas economicas, asi como sus fortalezas y debilidades.   En ese sentido, este espacio academico busca que las personas que hacen parte del curso tengan  herramientas para tomar posturas criticas respecto a la participacion de las mujeres en la ",X,Pregrado,,economia disciplina caracterizado ser disciplina masculinizada liderada escrita hombres igual manera encuentra evidencia participacion desproporcionada hombres instituciones politica economica tales bancos centrales ministerios hacienda segundo lugar identifica baja presencia jeres academia venido ralentizando ultimos años distintos paises anterior cuenta necesidad realizar investigaciones causas fenomeno posibles acciones cierre brechas rte literatura oficinas estadisticas identificado existencia brechas economicas genero tales desigualdad remuneracion trabajadores menor acceso mujeres mercado laboral indice ascenso minidad pobreza barreras liderazgo instituciones relevantes politica economica empresarial pais mundo sentido relevante estudiar economia enfoque genero comprender herramientas sesgos disciplina cuenta crear perspectiva critica propositiva permita aportar mayores insumos debates politica publica cierre brechas igual manera importante estudiar construccion principales indicadores dan cuenta brechas economicas asi fortalezas debilidades sentido espacio academico busca personas hacen parte curso herramientas tomar posturas criticas respecto participacion mujeres,/fondoCartas/img2.jpg
181,Lectura critica para Economia y Finanzas  gr. 1,,Economía,"Dentro del mundo academico en particular, destrezas  tales como la reflexion, el analisis y la confrontacion  de diferentes ideas son fundamentales para un sano y  robusto desarrollo del pensamiento critico. Las  competencias de lectura y de escritura son  herramientas indispensables para adquirir el  pensamiento critico y contribuir al entrenamiento de  la mente. En areas como la economia, resulta urgente  formar personas con criterio y capacidad de analisis  sobre los conflictos y las dinamicas que inciden en  los cambios economicos.     Por tal motivo, este curso se propone como un entrenamiento de la capacidad analitico -critica de  comprension de lectura que requiere cualquier profesional, de modo tal que los estudiantes aprendan  a leer en contexto. Estas habilidades brindan valores como el respeto y la tolerancia sobre diversas  formas de pensar, tan necesarios si se busca educar para la paz.     De igual modo, el curso estimulara la cultura con lecturas que les sirvan a los estudiantes para  conocer sobre los origenes de su disciplina vista desde la perspectiva de otras areas. Tambien se  hara uso de lecturas literarias que promuevan la capacidad de realizar una lectura de estructura  profunda, y el estudiante ganara en cuanto a versatilidad en la mirada integral  que debe tener un  profesional        ",X,Pregrado,,dentro mundo academico particular destrezas tales reflexion analisis confrontacion diferentes ideas fundamentales sano robusto desarrollo pensamiento critico competencias lectura escritura herramientas indispensables adquirir pensamiento critico contribuir entrenamiento mente areas economia resulta urgente formar personas criterio capacidad analisis conflictos dinamicas inciden cambios economicos tal motivo curso propone entrenamiento capacidad analitico -critica comprension lectura requiere cualquier profesional modo tal estudiantes aprendan leer contexto habilidades brindan valores respeto tolerancia diversas formas pensar tan necesarios busca educar paz igual modo curso estimulara cultura lecturas sirvan estudiantes conocer origenes disciplina vista perspectiva areas tambien hara uso lecturas literarias promuevan capacidad realizar lectura estructura profunda estudiante ganara cuanto versatilidad mirada integral debe tener profesional,/fondoCartas/img9.jpg
182,Escritura  academica  para economia y finanzas   Grupo 3,,Economía,"La ciencia economica requiere de la combinacion  de una solida formacion matematica y del  desarrollo de habilidades analiticas, reflexivas y de  comunicacion y expresion de ideas. Para el  desarrollo de estas habilidades, el curso de  escritura para economistas ofrece una  metodologia que pretende sentar las bases para la  produccion de textos tanto en la vida academica  como en el ambito profesional. La asignatura  tendra una orientacion  practica que entrenara a  los estudiantes en habilidades basicas para la expresion escrita como la composicion textual, la  sintaxis, la puntuacion y la ortografia .     ",X,Pregrado,,ciencia economica requiere combinacion solida formacion matematica desarrollo habilidades analiticas reflexivas comunicacion expresion ideas desarrollo habilidades curso escritura economistas ofrece metodologia pretende sentar bases produccion textos vida academica ambito profesional asignatura tendra orientacion practica entrenara estudiantes habilidades basicas expresion escrita composicion textual sintaxis puntuacion ortografia,/fondoCartas/img6.jpg
183,PRE-CÁLCULO,,Economía,"En diversos cursos de su carrera universitaria, el estudiante  debera aplicar competencias basicas en matematicas, el  proposito del presente curso es facilitar el desarrollo de   dichas competencias por parte del estudiante.  Adicionalmente, se pretende fortalecer la constancia y los  buenos habitos de estudio, considerando al estudiante como  el actor principal de su aprendizaje, animando su  participacion activa y la progresion a un  ritmo individualizado.     ",X,Pregrado,,diversos cursos carrera universitaria estudiante debera aplicar competencias basicas matematicas proposito presente curso facilitar desarrollo dichas competencias parte estudiante adicionalmente pretende fortalecer constancia buenos habitos estudio considerando estudiante actor principal aprendizaje animando participacion activa progresion ritmo individualizado,/fondoCartas/img9.jpg
184,Calculo I,,Economía,En este curso se introducira nociones de  calculo en una y varias variables . Estos  conceptos prepararan a los estudiantes para  el curso de calculo II y formara la capacidad  de obtener estimaciones  e interpretaciones   cualitativas necesarias en las materias de  economia y finanzas.         ,X,Pregrado,,curso introducira nociones calculo varias variables conceptos prepararan estudiantes curso calculo formara capacidad obtener estimaciones interpretaciones cualitativas necesarias materias economia finanzas,/fondoCartas/img9.jpg
185,Taller de Bloomberg,,Finanzas y Comercio Internacional,"El objetivo del curso de Introduccion a la  utilizacion de Bloomberg es familiarizar al  estudiante con el uso de las terminales de  Bloomberg desde el punto de vista  de  manejo de informacion economica y  financiera, asi como fuente de analisis de los  principales mercados de capitales mundiales.     En terminos de objetivos especificos el  estudiante:   ",X,Pregrado,,objetivo curso introduccion utilizacion bloomberg familiarizar estudiante uso terminales bloomberg punto vista manejo informacion economica financiera asi fuente analisis principales mercados capitales mundiales terminos objetivos especificos estudiante,/fondoCartas/img5.jpg
186,Teoria y Politica del Comercio Internacional,,Finanzas y Comercio Internacional,"Las ultimas decadas han traido consigo cambios importantes en la forma de realizar transacciones  a nivel global . Particularmente las relaciones comerciales de movimiento de bienes y servicios y  de transacciones monetarias y financi eras han generado grandes cambios o fenomenos  economicos. Por ejemplo, a inicio de los anos ",X,Pregrado,,ultimas decadas traido consigo cambios importantes forma realizar transacciones nivel global particularmente relaciones comerciales movimiento bienes servicios transacciones monetarias financi generado grandes cambios fenomenos economicos ejemplo inicio años,/fondoCartas/img6.jpg
187,"Globalizacion, Finanzas y  Comercio Internacional",,Finanzas y Comercio Internacional,"El curso abarca el concepto de globalizacion de manera integral, ya que se refiere a las distintas herramientas de  homogenizacion y a la vez de fraccionamiento articulado del mundo que reordenan las diferencias y las desigualdades sin  suprimirlas. Entre es as herramientas de homogenizacion se establecieron: el fortalecimiento del comercio internacional, el  incremento relativo de la movilizacion internacional de factores, la virtualizacion de las transacciones y la desaparicion de   fronteras entre plazas finan cieras. Sin embargo, las premisas de que la globalizacion tiene alcances vinculantes y es  transversal a toda la poblacion, esta replanteada, ya que el mundo al verse expuesto a la presuncion de eficiencia de la  globalizacion, esta llevando a la comunidad i nternacional a plantear politicas de decrecimiento, dandole mas importancia a  la soberania estatal en terminos economicos y a fortalecer los discursos separatistas debido a la conflictividad social y  deterioro del desarrollo.   No obstante, para estudiar lo s alcances teoricos de la globalizacion se utilizan y profundizan conceptos como el comercio  internacional, la balanza de pagos, la movilizacion internacional de factores y las finanzas internacionales. Para abarcar es tos  conceptos se utilizaran como Meta discursos la economia internacional, las finanzas internacionales y la politica economica.   El principal proposito es entregar a los estudiantes herramientas que les permita conocer y analizar los alcances teoricos  de la globalizacion aplicados a situacion es estructurales y coyunturales, en ambitos economicos, sociales y politicos diversos.  Asimismo, analizaran las causas y efectos de fenomenos que en forma cotidiana se presentan en el entorno internacional,  repercutiendo en el nacional. Para tal efecto, re alizaran un recorrido a traves de los postulados teoricos de las politicas de  coordinacion macroeconomica, su armonizacion y posteriores efectos, con el que conoceran a fondo las relaciones mundiales  y el modo en que estas han ido evolucionando.   .  ",X,Pregrado,,curso abarca concepto globalizacion manera integral refiere distintas herramientas homogenizacion vez fraccionamiento articulado mundo reordenan diferencias desigualdades suprimirlas herramientas homogenizacion establecieron fortalecimiento comercio internacional incremento relativo movilizacion internacional factores virtualizacion transacciones desaparicion fronteras plazas finan cieras embargo premisas globalizacion alcances vinculantes transversal toda poblacion replanteada mundo verse expuesto presuncion eficiencia globalizacion llevando comunidad nternacional plantear politicas decrecimiento dandole mas importancia soberania estatal terminos economicos fortalecer discursos separatistas debido conflictividad social deterioro desarrollo obstante estudiar alcances teoricos globalizacion utilizan profundizan conceptos comercio internacional balanza pagos movilizacion internacional factores finanzas internacionales abarcar tos conceptos utilizaran meta discursos economia internacional finanzas internacionales politica economica principal proposito entregar estudiantes herramientas permita conocer analizar alcances teoricos globalizacion aplicados situacion estructurales coyunturales ambitos economicos sociales politicos diversos asimismo analizaran causas efectos fenomenos forma cotidiana presentan entorno internacional repercutiendo nacional tal efecto alizaran recorrido traves postulados teoricos politicas coordinacion macroeconomica armonizacion posteriores efectos conoceran fondo relaciones mundiales modo ido evolucionando,/fondoCartas/img2.jpg
188,DERIVADOS,,Finanzas y Comercio Internacional,"Los derivados financieros son  ampliamente utilizados en los  mercados de capitales, como  instrumentos que permiten  mitigar riesgos de posiciones  primarias, ademas de ser  utilizados en estrategias de  arbitraje o de especulacion, y se  han convertido en una pieza  importante de innovacion  financiera.     El curso busca dotar  a los estudiante s con  los aspectos teorico -practicos fundamentales  sobre la  estructura , el manejo y la  valoracion de  los derivados financieros, con particular enfasis en  contratos forwards, futuros, swaps y opciones. La metodologia del curso combina metodos  cuantit ativos con razonamiento teorico y desarrollo de ejercicios practicos aplicados a la realidad  colombiana y mundial .     ",X,Pregrado,,derivados financieros ampliamente utilizados mercados capitales instrumentos permiten mitigar riesgos posiciones primarias ademas ser utilizados estrategias arbitraje especulacion convertido pieza importante innovacion financiera curso busca dotar estudiante aspectos teorico -practicos fundamentales estructura manejo valoracion derivados financieros particular enfasis contratos forwards futuros swaps opciones metodologia curso combina metodos cuantit ativos razonamiento teorico desarrollo ejercicios practicos aplicados realidad colombiana mundial,/fondoCartas/img2.jpg
189,FINANZAS CORPORATIVAS,,Finanzas y Comercio Internacional,"Evaluacion del desempeno financiero de las empresas del sector real a traves del analisis de  sus estructuras de capital, niveles de apalancamiento a corto y largo plazo, riesgo  sistematico vs rentabilidad, flujos de caja con el fin de determinar la potenci al generacion  de riqueza, razones e inductores financieros, cobertura de riesgos (derivados), agregacion  de valor y distribucion optima de dividendos.     PROPÓSITO     Proporcionar al estudiante herramientas conceptuales, practicas y actualizadas de  acuerdo  con los adelantos en la frontera del conocimiento en lo que respecta a Finanzas Corporativas ,  de tal forma que adquieran las competencias suficientes para evaluar el desempeno  financiero de una empresa del sector real aunado a la destreza para proponer alter nativas  de gestion financiera que redunden en la agregacion de valor para la misma .       ",X,Pregrado,,evaluacion desempeño financiero empresas sector real traves analisis estructuras capital niveles apalancamiento corto largo plazo riesgo sistematico rentabilidad flujos caja fin determinar potenci generacion riqueza razones inductores financieros cobertura riesgos (derivados) agregacion valor distribucion optima dividendos proposito proporcionar estudiante herramientas conceptuales practicas actualizadas acuerdo adelantos frontera conocimiento respecta finanzas corporativas tal forma adquieran competencias suficientes evaluar desempeño financiero empresa sector real aunado destreza proponer alter nativas gestion financiera redunden agregacion valor misma,/fondoCartas/img2.jpg
190,Metodos cuantitativos en Finanzas,,Finanzas y Comercio Internacional,"Este curso teorico introduce a los estudiantes a algunas herramientas cuantitativas y  computacionales aplicadas en el analisis financiero, valoracion de derivados financieros y  administracion de riesgos. Los metodos computacionales y de analisis numerico e s el centro de  interes secundario de este curso.     Los estudiantes que tomen el curso se formaran en la base de las matematicas financieras. Las  cuales forman la componente mas desarrollada de la teoria contemporanea de mercados  financieros y de las herramientas de valoracion de derivados financieros.     La primera pare del curso se enfoca en la comprension de los derivados financieros y su valoracion.  Se presentan metodos especificos para solucion de dichos problemas.   La segunda parte ha sido disenada para abordar problemas de evaluacion y administracion de  riesgos, lo cual incluye metodos computacionales.     ",X,Pregrado,,curso teorico introduce estudiantes herramientas cuantitativas computacionales aplicadas analisis financiero valoracion derivados financieros administracion riesgos metodos computacionales analisis numerico centro interes secundario curso estudiantes tomen curso formaran base matematicas financieras cuales forman componente mas desarrollada teoria contemporanea mercados financieros herramientas valoracion derivados financieros primera pare curso enfoca comprension derivados financieros valoracion presentan metodos especificos solucion dichos problemas segunda parte diseñada abordar problemas evaluacion administracion riesgos incluye metodos computacionales,/fondoCartas/img2.jpg
191,Economia Financiera,,Finanzas y Comercio Internacional,El riesgo y la incertidumbre desempenan un papel central en la toma de decisiones financieras modernas. El principal objetivo de este curso es introducir los conceptos fundamentales y herramientas matematicas para comprender los modelos microeconomicos clasicos que incorporan el riesgo y la incertidumbre en el proceso de toma de decisiones en finanzas.,X,Pregrado,,riesgo incertidumbre desempeñan papel central toma decisiones financieras modernas principal objetivo curso introducir conceptos fundamentales herramientas matematicas comprender modelos microeconomicos clasicos incorporan riesgo incertidumbre proceso toma decisiones finanzas,/fondoCartas/img5.jpg
192,Matematicas y Planeacion Financiera,,Finanzas y Comercio Internacional,"Las matematicas financieras son soporte en la toma  de decisiones en el ambito empresarial, su estudio  y analisis apoya de manera efectiva  todas aquellas  situaciones y planteamientos que se afrontan en el  dia a dia en l os cuales intervienen conceptos como  el capital, el interes y sobre todo el valor del dinero  en el tiempo.   Teniendo en cuenta lo anterior, el objetivo del  curso es comprender  y aplicar todos aquellos  modelos que permiten identificar y describir las  operaciones y planteamientos que surgen en el analisis del valor del dinero en el tiempo.     El flujo de caja es fundamental al realizar analisis del exito y desempeno a largo plazo de un  proyecto o compania. El analisis financiero contiene herramientas que permiten llevar a cabo esta  labo.                  ",X,Pregrado,,matematicas financieras soporte toma decisiones ambito empresarial estudio analisis apoya manera efectiva todas aquellas situaciones planteamientos afrontan dia dia cuales intervienen conceptos capital interes valor dinero tiempo cuenta anterior objetivo curso comprender aplicar aquellos modelos permiten identificar describir operaciones planteamientos surgen analisis valor dinero tiempo flujo caja fundamental realizar analisis exito desempeño largo plazo proyecto compañia analisis financiero contiene herramientas permiten llevar cabo labo,/fondoCartas/img9.jpg
193,Formacion para el desempeno laboral,,Finanzas y Comercio Internacional,"Descubrir y potenciar los talentos y habilidades de los  estudiantes para que puedan acceder al trabajo o empresa  idea l. A traves de un acompanamiento que les permita  Equipar se con herramientas y estrategias que le ayuden a  identificar cual es el objetivo que desea n alcanzar, para que  tome n decisiones inteligentes, basadas en su proposito de  vida.       ",X,Pregrado,,descubrir potenciar talentos habilidades estudiantes puedan acceder trabajo empresa idea traves acompañamiento permita equipar herramientas estrategias ayuden identificar objetivo desea alcanzar tome decisiones inteligentes basadas proposito vida,/fondoCartas/img6.jpg
